brand,product_name,product_url,image_url,product_price,description,metadata,metadata_features
GlobalDesi,Geometric Print Blue Viscose Skirt Set,https://www.globaldesi.in/Women/All-Clothing/Co-ords-SS24GR0562PMRC_BLUE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw02c2828a/images/hires/S23/GD-SS24GR0562PMRC-BLUE-(3).jpg?sw=1300&sh=1950&sm=fit&strip=false,6990.0,"Make every event super stylish with this 2-piece skirt set. Featuring geometric print on a V-neck crop top and a tapered full length skirt with an embroidered waist, this set is crafted using 100% viscose.",{},
GlobalDesi,Safed Ishq Kurta,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-S25P2KU_OFF_WHITE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwe44b9d10/images/hires/SS22/S25P2KU_OFF%20WHITE_2%20copy%202.jpg?sw=1300&sh=1950&sm=fit&strip=false,4890.0,"Featuring an India-inspired embroidery all over, this elegant kurta is perfect for your daytime or weekend looks. Featuring three-quarter sleeves and a round neckline, this top is crafted in a viscose linen blend & comes in a relaxed fit. It can be paired with flared bottoms and heels for an elegant look.",{},
GlobalDesi,The Laila Skirt Set,https://www.globaldesi.in/Women/All-Clothing/Co-ords-F24A283P_RED.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw1bce9806/images/hires/SS22/GD-F24A283P-RED%20(2)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,14990.0,"This elegant crimson 3-piece set features a ditsy gold foil print on a soft viscose fabric base. The ensemble includes a stylish shrug with minimal gold embroidery and a draped skirt with an embroidered waistband. Perfect for festive gatherings, cultural events, and evening parties, this set offers a sophisticated and glamorous look.",{},
GlobalDesi,Geometric Blue Viscose Kurta,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-SS24GG183KURTW_BLUE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwf3b293b4/images/hires/S23/GD-SS24GG183KURTW-BLUE-(1).jpg?sw=1300&sh=1950&sm=fit&strip=false,1345.0,"When you want to bring out your elegant side, this kurta is the answer. Crafted using 100% viscose, this empire cut kurta features delicate embroidery work on the neck and sleeves, to give you a stylish look no matter what the occasion!",{},
GlobalDesi,Aasmani Chevron Wrap Co-ord,https://www.globaldesi.in/Women/All-Clothing/Co-ords-S25P322P_BLUE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw01c4e752/images/hires/SS22/S25P322P_Blue_1%20(7)%20copy%202.jpg?sw=1300&sh=1950&sm=fit&strip=false,4490.0,"Crafted for fun outings with friends, this contemporary chevron set features a tie-up top & straight pants. Featuring a chevron print all over, this set is crafted in soft & breathable viscose. Style this ensemble with statement jhumkas or trailing shell jewellery to look chic.",{},
GlobalDesi,Ikat Inspired Pink Viscose Kurta Set,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurta-Sets-SS24GR0212PMO_PINK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwfd5f3690/images/hires/S23/GD-SS24GR0212PMO-PINK-(3).jpg?sw=1300&sh=1950&sm=fit&strip=false,1995.0,"Let the celebrations begin with this Ikat inspired kurta set. Featuring Ikat inspired motifs with delicate silver foil work on the kurta and straight pants, this 2-piece set is the perfect look for any occasion. This kurta set is crafted using 100% biodegradable viscose.",{},
GlobalDesi,Rivaayat Kurta Set,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurta-Sets-S25H1083P_BLACK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw9816b1dc/images/hires/SS22/S25H1083P_BLACK%20(5)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,14990.0,"Celebrate in style with this elegant 3-piece set that features foil prints all-over. It is the perfect occasion wear with a heavily embellished kurta, paired with flared pants and a dupatta adorned with heavy tassels. An eclectic India-inspired set, it is perfect for weddings, festive occasions, and cocktail events.",{},
GlobalDesi,Neela Phool Maxi Dress,https://www.globaldesi.in/Women/All-Clothing/Dresses-F24H157MX_GREY.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwd10f2485/images/hires/SS22/GD-F24H157MX_GREY%20(2)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,2645.0,"Step into style with this beautiful maxi dress, crafted from breathable viscose fabric and featuring floral prints. This elegant A-line silhouette comes with full sleeves, a round neck and 2 pockets, perfectly complementing the maxi dress.",{},
GlobalDesi,The Befikar Jumpsuit,https://www.globaldesi.in/Women/All-Clothing/Jumpsuits-F24H25JS_GREEN.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwc6ba0a08/images/hires/SS22/GD-F24H25JS-GREEN%20(1)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,5990.0,"This green halter neck jumpsuit features a vibrant geometric print crafted using sofl viscose fabric. The fun tassel details at the shoulders, embroidered tie-up waistbelt, and wide-leg fit adds a playful touch to the outfit.",{},
GlobalDesi,Nova Bottom,https://www.globaldesi.in/Women/All-Clothing/Bottoms-S25H37BT_NATURAL.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwf158bf7f/images/hires/SS22/GD-S25H37BT_NATURAL%20(02)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,2190.0,"Crafted from breathable rayon linen, these pants are accented with contrast piping and a buttoned hem to create a cinched, tailored fit. Pair seamlessly with the vest and shrug.",{},
GlobalDesi,Embroidered Viscose Kurta - Pink,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurtas-SS24GS051KURY_PINK.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dw90a24f5f/images/hires/SS22/GD-SS24GS051KURY-PINK-(3).jpg?sw=1300&sh=1950&sm=fit&strip=false,3990.0,"Be the star of the show at any event with this ethnic printed flared kurta. Featuring heavy embroidery along the neckline and sleeve ends, this kurta is perfect for anything from a puja to a sangeet night. This kurta has been crafted using 100% viscose.",{},
GlobalDesi,Burgundy Silsila Kurta Set,https://www.globaldesi.in/Women/All-Clothing/Kurtas-and-Kurta-Sets/Kurta-Sets-S25H693P_WINE.html,https://www.globaldesi.in/dw/image/v2/BGCX_PRD/on/demandware.static/-/Sites-masterCatalog_GD/default/dwd88d755c/images/hires/SS22/S25H693P_WINE%20(8)%20copy.jpg?sw=1300&sh=1950&sm=fit&strip=false,17990.0,"This elegant three-piece kurta set is perfect for occasions. Designed from soft & flowy fabric, this set comes with an fully embroidered modern tunic and flared pants that offer ease of movement The complementing dupatta makes this set perfect for festive celebrations & wedding soirees.",{},
